# original_word	target_translation	frequency_rank
the	the	1
be	bo'lish	2
to	ga	3
of	ning	4
and	va	5
a	bir	6
in	da	7
that	bu	8
have	ega	9
I	men	10
it	u	11
for	uchun	12
not	emas	13
on	ustida	14
with	bilan	15
he	u	16
as	sifatida	17
you	siz	18
do	qilmoq	19
at	da	20
this	bu	21
but	lekin	22
from	dan	23
or	yoki	24
which	qaysi	25
one	bir	26
would	edi	27
there	yerda	28
their	ularning	29
what	nima	30
about	haqida	31
when	qachon	33
make	qilmoq	34
like	yoqmoq	35
time	vaqt	36
just	shunchaki	37
know	bilmok	38
take	olmoq	39
people	odamlar	40
into	ichiga	41
year	yil	42
your	sening	43
good	yaxshi	44
some	ba'zi	45
could	mumkin	46
them	ular	47
see	ko'rmok	48
other	boshqa	49
than	dan	50
then	keyin	51
now	hozir	52
look	qaramoq	53
only	faqat	54
come	kelmoq	55
its	uning	56
over	ustida	57
think	o'ylamoq	58
also	ham	59
back	orqa	60
after	keyin	61
use	ishlatmoq	62
two	ikki	63
how	qanday	64
our	bizning	65
work	ish	66
first	birinchi	67
well	yaxshi	68
way	yo'l	69
even	hatto	70
new	yangi	71
want	istamoq	72
because	sababli	73
any	har qanday	74
these	shular	75
give	bermoq	76
day	kun	77
most	ko'p	78
find	topmoq	79
here	yerda	80
thing	narsa	81
many	ko'p	82
tell	aytmoq	83
very	juda	85
her	uning	86
still	hali	87
life	hayot	88
hand	qo'l	89
high	yuqori	90
keep	saqlamoq	91
let	qo'ymoq	92
begin	boshlamoq	93
seem	ko'rinmoq	94
help	yordam	95
show	ko'rsatmoq	96
hear	eshitmoq	97
play	o'ynamoq	98
run	yugurmoq	99
move	ko'chmoq	100
